Homes
232, 240, 25,  8, 4, 3,   5, 2.05,  3613
207, 225, 22,  8, 4, 2,  16, 2.22,  5158
271, 285, 30, 10, 5, 2,  30, 0.53,  5702
180, 190, 24,  9, 4, 2,  10, 1.55,  4681
293, 305, 26,  8, 4, 3,   6, 0.46,  7088
190, 193, 22,  9, 5, 2,  37, 0.48,  3920
184, 190, 21,  9, 5, 2,  27, 1.30,  4162
567, 625, 64, 11, 4, 4,   4, 0.85, 12192
180, 185, 20,  8, 4, 2,  11, 1.00,  3831
183, 188, 17,  7, 3, 2,  16, 3.00,  3564
185, 193, 20,  9, 3, 2,  56, 6.49,  3765
265, 270, 36, 10, 6, 3,  33, 1.20,  5853
212, 230, 39, 12, 5, 3, 202, 4.29,  3648
247, 252, 29,  9, 4, 2,   4, 1.25,  4626
